date,count,ep_week
2020-05-09,2535220,19
2020-05-16,2628485,20
2020-05-23,2625300,21
2020-05-30,1987683,22
2020-06-06,1600506,23
2020-06-13,1659214,24
2020-06-20,1480669,25
2020-06-27,1440129,26
2020-07-04,1262250,27
2020-07-11,1694202,28
2020-07-18,1217203,29
2020-07-25,1348260,30
2020-08-01,1112872,31
2020-08-08,947095,32
2020-08-15,1027814,33
2020-08-22,761960,34
2020-08-29,603762,35
2020-09-05,319762,36
2020-09-12,626610,37
2020-09-19,534318,38
2020-09-26,606229,39
2020-10-03,518767,40
2020-10-10,432271,41
2020-10-17,440403,42
2020-10-24,561254,43
2020-10-31,460288,44
2020-11-07,382825,45
2020-11-14,476799,46
2020-11-21,527258,47
2020-11-28,530402,48
2020-12-05,604908,49
2020-12-12,678627,50
2020-12-19,629503,51
2020-12-26,561050,52
2021-01-02,719738,53
2021-01-09,125508,1
