tweets;retweet;tweets_relativo;retweets_relativos
7414;26823;0.003037802489572151;0.006828652080138329
10572;24911;0.004170052303153178;0.005646527513646549
16919;89574;0.006436787731335732;0.016460549919896917
36948;293442;0.014073820134841732;0.05438117190774982
13080;20405;0.006580526170420535;0.006204849117713331
16868;82400;0.010539166988439905;0.025437578836428342
22599;97005;0.013620304553842964;0.031237350732606924
16011;81648;0.010813355314388293;0.032335982453784946
16457;89266;0.011427448513292906;0.038230188855402726
22766;142479;0.018036046741929095;0.07085222175588235
15712;27772;0.0092739826773903;0.009318009102606472
27922;182944;0.022939476816931932;0.08494184113706474
45612;324006;0.0338302701259401;0.1112660641697971
31064;161939;0.027913362902472164;0.07603308966973715
22715;98039;0.0239838664547907;0.06564348208612347
38400;161891;0.037360845444798375;0.07937658216521347
18165;40849;0.023839834112026878;0.03414252114213499
13575;20659;0.0224840251622328;0.01990120202913461
18069;61562;0.03983799348269917;0.075493771598292
21333;48764;0.035725290551629436;0.04747902759711177
13465;64294;0.025557413547991566;0.06735452213111577
15527;36328;0.025803074366431242;0.035757806025123386
13819;19911;0.027206183456183457;0.023223535421985787
12016;20771;0.02848986637076659;0.03292484398306442
18225;55588;0.04061833474856749;0.06382961621622242
57665;186697;0.1033947324539148;0.23391979191203371
21452;58394;0.046091801151220725;0.0971984333464831
10051;18292;0.027096537649656405;0.0424488128859484
20313;53952;0.0403575416330569;0.09219175858445187
17578;33964;0.034096155114423266;0.05179278615727843
24859;36388;0.04589054498598861;0.06304598676983744
29881;83856;0.04892741530093119;0.10584430829351045
57094;162003;0.08338725107166069;0.18043155756328352
57246;197257;0.08720568879789412;0.19436868139447805
36616;90680;0.06776298500612561;0.10255099559736407
40882;86534;0.05875623392115437;0.07622381441464614
