date,ep_week,retweets,tweets,total
2020-05-09,19,4411738,2535220,6946958
2020-05-16,20,5441738,2628485,8070223
2020-05-23,21,5396022,2625300,8021322
2020-05-30,22,3288557,1987683,5276240
2020-06-06,23,3239302,1600506,4839808
2020-06-13,24,3105417,1659214,4764631
2020-06-20,25,2524989,1480669,4005658
2020-06-27,26,2334961,1440129,3775090
2020-07-04,27,2010932,1262250,3273182
2020-07-11,28,2980465,1694202,4674667
2020-07-18,29,2153756,1217203,3370959
2020-07-25,30,2911993,1348260,4260253
2020-08-01,31,2129849,1112872,3242721
2020-08-08,32,1493507,947095,2440602
2020-08-15,33,2039531,1027814,3067345
2020-08-22,34,1196426,761960,1958386
2020-08-29,35,1038078,603762,1641840
2020-09-05,36,569568,319762,889330
2020-09-12,37,1090474,626610,1717084
2020-09-19,38,1015679,534318,1549997
2020-09-26,39,1015700,606229,1621929
2020-10-03,40,875347,518767,1394114
2020-10-10,41,603435,432271,1035706
2020-10-17,42,879416,440403,1319819
2020-10-24,43,813499,561254,1374753
2020-10-31,44,589403,460288,1049691
2020-11-07,45,457816,382825,840641
2020-11-14,46,573328,476799,1050127
2020-11-21,47,599579,527258,1126837
2020-11-28,48,642585,530402,1172987
2020-12-05,49,757855,604908,1362763
2020-12-12,50,871834,678627,1550461
2020-12-19,51,923378,629503,1552881
2020-12-26,52,895676,561050,1456726
2021-01-02,53,1219656,719738,1939394
2021-01-09,1,198679,125508,324187
